flyktingar,invandrare,flyktingarna,asyl,uppehållstillstånd,asylsökande,rasism,stanna,medborgare,invandrarverket,diskriminering,flykting,invandrarna,migrationsverket,återvända,medborgarskap,invandring,rasistiska,visum,hemlandet
köpa,sälja,marknaden,köper,säljer,säljs,försäljningen,försäljning,marknad,säljas,produkt,köp,produkter,sålt,affärerna,sålts,produkten,köpt,affärer,köps
ger,däck,skydd,utrymme,grepp,boström,säkerhet,kombination,maximal,inblick,däcken,upphov,säkrare,behåller,ella,möjlighet,belägg,mjukare,livslängd,halt
johannes,påven,heliga,katolska,rom,svärd,romerska,napoleon,vatikanen,kloster,tempel,kejsaren,paulus,palats,antika,helgon,nnntalet,påvens,kejsar,berömda
direktör,ingenjör,dir,direktören,disponent,sven,civilingenjör,sekreterare,ordf,verkställande_direktör,dr,kamrer,ingenjören,axel,folke,bankdirektör,redaktör,ing,överingenjör,nils
ville,tyckte,lät,valde,önskade,ansåg,trodde,kände,menade,bestämde,föreslog,gillade,handlade,undrade,visste,insåg,vågade,hoppades,gällde,klagade
gällde,innebar,ansågs,skedde,gjordes,förekom,ansåg,gavs,ingick,bestod,utgjorde,sades,ursprungligen,ledde,togs,genomfördes,medförde,önskade,kallades,förelåg
t,o,ex,m,v,dyl,ill,rots,deus,seagrams,cx,fr,ell,machina,tnder,anken,fam,verkl,likn,omf
politiska,politik,kretsar,bedömare,utrikespolitiska,utrikespolitik,ledande,linje,officiella,opinionen,utrikespolitiken,prestige,relationerna,vida,iakttagare,inrikespolitiska,uttalanden,avsikter,positioner,förestående
journalister,pressen,press,journalist,tidningar,journalisten,medierna,journalisterna,massmedia,media,tidningarna,intervjuer,reportage,reporter,medier,journalistik,reportern,publicitet,rapportera,reportrar
form,ger,rör,formen,innehåll,både,består,innehåller,ursprungliga,mo,färdiga,bidrar,bygger,koncentrerad,te,flytande,formerna,speciella,rymmer,bestämd
delta,deltar,kurs,deltagare,föredrag,deltagarna,kursen,kurser,deltagande,konferens,hålls,representanter,anordnas,seminarium,nntal,hölls,konferenser,ämnet,föreläsningar,ordnas
väntar,går,dag,försvinner,väntan,tar,står,bara,försvinna,snart,fortfarande,mister,längre,lämnar,ivrigt,otåligt,spricker,tröttnat,inväntar,överger
partiet,parti,socialdemokratiska,partiets,politik,liberala,socialdemokratin,moderata,partiledningen,partistyrelsen,konservativa,partiledaren,partiledare,valet,partikongressen,politiken,ungdomsförbundet,moderat,demokratiska,partier
produktion,produktionen,fabriken,maskiner,fabrik,tillverkning,bruk,fabriker,tillverkningen,driften,industri,anläggningar,industrier,tillverka,tillverkas,kapacitet,verkstad,tillverkar,mekaniska,maskinerna
sex,månader,nio,åtta,månaders,fyra,tolv,fem,elva,halvår,nathalie,arja,saijonmaa,nader,ärja,varat,appeal,arton,aija,vistats
syn,handen,ögat,öga,ena,synen,andra,ögonen,liten,blind,örat,ögon,högra,vänstra,blinda,lik,fingrar,finger,öra,tummen
ner,lägger,lägga,nere,rakt,skära,läggs,lagt,riva,lugna,uppifrån,gräva,ramlar,ramla,gräver,bryts,tummen,försiktigt,trappa,ramlat
skor,par,fötter,fötterna,tjocka,mjuka,skorna,fot,foten,tunna,skinn,sko,lätta,strumpor,tå,tunn,läder,insidan,fotterna,mjuk
tillbaka,igen,drog,komma,dragit,dra,falla,dragits,vrida,skickas,drogs,luta,återkomst,lånat,dras,blicka,ryggar,ryggade,trängts,rygga
extra,dessutom,ingår,ordinarie,kostnad,förutom,cecilia,utöver,inklusive,plus,tillkommer,slipper,läs,garanterat,tillskott,separat,tillägg,belastning,krydda,komplett
knappast,förefaller,sannolikt,föga,döma,troligt,torde,tycks,tänkas,möjligen,åtminstone,visserligen,förvånande,närmast,osannolikt,säkerligen,tämligen,ter,däremot,överraskande
ur,synpunkt,hämtat,synvinkel,utdrag,hämtade,hämtad,citat,utträde,klipp,ösa,högen,perspektiv,spårat,synpunkten,hämtats,spårar,citatet,axplock,uteslöts
cirka,beräknas,totalt,omkring,kosta,totala,sammanlagt,drygt,räknar,årligen,årliga,kostnaden,motsvarar,ooo,uppgå,beräknar,uppgår,sammanlagda,motsvarande,uppskattas
fjol,årets,första,före,närmast,jämnt,period,medan,fjolårets,föregående,nätt,lovande,fördelade,noterade,arets,resultatet,noterat,siktar,ojämnt,nådde
talar,tala,förstår,samtal,menar,kallar,öppet,säga,förstå,påstår,tydliga,diskuterar,tiga,verkligen,flytande,sanning,hellre,tydligt,varken,ens
bara,aldrig,förut,talat,gjort,göra,gång,mött,trott,ärligt,enda,just,bokstavligen,ylva,förvånade,aning,bokstavligt,varken,heller,bang
wallenberg,marcus,betalt,börsen,papper,index,omsättningen,steg,köpare,marknaden,kurserna,noterades,slutade,omsättning,sjönk,tendensen,aktier,affärer,föll,oförändrade
erfarenhet,utbildning,arbetsuppgifter,söker,kunskaper,samt,praktisk,arbetet,administrativa,förmåga,inriktning,svara,kvalifikationer,planering,leda,bakgrund,ansvara,medverka,arbetsuppgifterna,medarbetare
bara,räcker,halva,resten,ändå,kolla,tar,går,bråkdel,dryga,knep,jill,fa,annars,se,rejäl,rejält,snåla,futtiga,ynka
operan,opera,björling,don,birgit,operans,sjunger,ges,föreställning,jussi,carmen,wagner,söderström,dirigerar,gästspel,elisabeth,sångare,föreställningen,meyer,sigurd
motor,motorn,bil,hk,ford,opel,bak,standard,komfort,bromsar,volkswagen,bilen,motorer,audi,peugeot,körning,vagnen,toyota,renault,rymlig
ta,ordning,reda,hålla,tur,vanlig,få,försöka,nämnd,bringa,förväg,leta,försöker,sedvanlig,omvänd,vederbörlig,begreppen,tingens,oordning,trassliga
tv,svt,tvn,kanal,kanalen,tittare,sända,program,tittarna,kanaler,rutan,sänder,public,television,kanalerna,tvprogram,programledare,sänds,programmen,tv_tittare
tvätta,vatten,tvätt,ren,husmor,husmödrar,torka,städa,tvättar,maskin,disk,kylskåp,damm,hushåll,städning,smuts,tvätten,köket,smutsiga,tvättmedel
många,dubbelt,andra,stenberg,frida,ewa,kvitt,stor,enormt,anledningarna,gaby,finns,inånga,evers,fröling,flesta,aulin,duktiga,stenbergs,undrat
tack,vare,välkomna,välkommen,hälsade,hälsar,varmt,hjärtligt,hälsning,bidrag,tacka,framförde,grattis,framföra,tackar,adjö,hälsningar,varma,kära,generösa
få,tag,ta,tätt,hårda,titt,tuffa,ordentligt,bort,inpå,griper,fram,besvärligt,se,innan,framöver,knutarna,porter,försiktigt,rejäla
ab,företaget,anställda,dotterbolag,produkter,koncernen,företag,omsättning,ledande,co,tillverkar,huvudkontor,asea,ingår,tillverkare,vd,koncernens,marknadsför,mkr,huvudkontoret
vill,helst,gärna,vilja,slippa,bolin,gäma,såge,närsomhelst,varsomhelst,överser,bolins,vija,ogillar,nämn,vilia,vijja,jättegärna,hursom,beblanda
begrepp,begreppet,uttryck,tolkning,sammanhang,tolka,perspektiv,konkret,uttrycket,konkreta,utifrån,tolkas,formuleringar,innebörden,formulering,innebörd,termer,menas,uppfattas,tolkningen
cm,storlek,mått,mm,centimeter,längd,bred,bredd,mäter,tjock,längden,format,ytan,mätt,kant,sidorna,yta,mäta,botten,avståndet
nnårige,nnåriga,bengtsson,gisslan,togs,krävde,hotade,hölls,släpptes,utanför,ivan,polis,frans,dramat,hållits,hotat,helgen,medhjälpare,utpressning,lämnade
minns,minne,minnet,minnen,läste,minnas,gammal,brukade,livet,hette,alltid,barndom,älskade,berätta,ung,glömt,ihåg,glömma,upplevde,levde
kläder,kläderna,nakna,klä,naken,modet,mode,bröst,snygga,klär,snygg,snyggt,marilyn,utseende,stil,garderoben,klädda,garderob,brösten,plagg
chef,chefen,avdelning,avdelningen,efterträdare,chefer,nye,biträdande,utsetts,post,befattning,tjänst,högste,avgår,cheferna,utnämndes,utnämningen,poster,tillträdde,utsågs
bygga,projekt,projektet,byggas,byggs,bygger,utbyggnad,bygget,planerade,anläggningen,utbyggnaden,färdig,planeras,färdigt,planerna,byggandet,byggt,byggts,bygg,planerar
ändå,väl,visserligen,kanske,värt,nog,säkert,visst,notera,besväret,räcka,mödan,naturligtvis,undra,tyckas,onödigt,aningen,långtifrån,räckt,kritan
musik,verk,konsert,musiken,musikaliska,orkester,konserten,konserter,dirigent,orkestern,symfoni,tonsättare,musiker,mozart,tonsättaren,solist,programmet,bach,konserthuset,pianisten
först,därefter,senare,följde,slutligen,varefter,varpå,omedelbart,varvid,dessförinnan,inledde,därpå,placerades,efterföljande,lundahl,övergick,östman,fabrikören,varifrån,proceduren
ta,ställning,hand,itu,josefin,funderare,tillvara,titt,hårdhandskarna,krafttag,slutlig,exem,kål,pel,reson,pelvis,eilert,skärpen,plar,bäs
gick,kom,tog,förbi,stannade,drog,satte,följde,fortsatte,höll,owe,hände,attack,vände,slog,lade,ställde,marika,kiosken,mötte
land,främmande,makt,lands,nation,gränser,världen,gränserna,rike,nationen,gräns,självt,stolta,nationens,fattigt,landsmän,avlägsna,förbli,neutralt,betraktar
mer,mindre,komplicerad,benägna,attraktiv,attraktivt,sofistikerade,konsumerar,cleo,konsumera,tenderar,fördubblat,äri,modesta,rikare,hanterbart,merode,cleos,smickrande,tilllåts
fakta,bedömning,punkter,underlag,bedöma,bakgrund,aktuella,bedömningen,linder,redovisa,uppfattning,bedömer,framgår,bakgrunden,viktiga,görs,bedömningar,bygger,korrekt,eventuella
vietnam,johnson,amerikanska,saigon,nordvietnam,hanoi,sydvietnam,kambodja,kissinger,laos,ho,president,indokina,vietnamesiska,van,kriget,fnl,johnsons,vietnamkriget,trupper
kostnaderna,kostnader,anslag,budget,utgifter,budgeten,besparingar,ökade,utgifterna,täcka,budgetår,anslaget,anslagen,underskott,budgetåret,beräknas,innevarande,nedskärningar,överskott,spara
ute,uppe,hålla,inne,snart,bara,någonstans,nyström,inomhus,utomhus,vistas,röra,gå,par,framme,just,ända,legat,borta,ärende
hr,fp,h,angående,hedlund,uti,herr,hrr,ohlin,interpellation,motion,sköld,kammaren,högerns,s,högern,cp,hjalmarson,riksdagsman,bordlagd
vackra,vacker,vackert,sköna,vackraste,underbara,skönhet,underbart,skön,njuta,underbar,härliga,strålande,utsikt,vackrare,utsikten,härlig,njuter,mjuka,skönheten
visst,ja,väl,sant,faktiskt,nog,förstår,verkligen,säga,riktigt,tänka,kanske,låter,säg,apropå,jodå,javisst,förresten,sorgligt,sannerligen
vanliga,vanlig,enkel,enkla,vanligt,utöver,gör,slipper,sätt,lätt,onödiga,onödigt,annars,ganska,enklare,komplicerade,onödig,förklaringen,helst,dödliga
n_n,matchen,vann,match,spelade,perioden,segern,nn_n,ledningen,seger,ställningen,slog,spel,besegrade,ledde,åskådare,hemmalaget,slutresultatet,oavgjort,halvtid
söker,yyyynn,kvinna,röka,röker,intressen,kille,trevlig,cigarretter,tjej,ärlig,nn_nn,rökning,rökare,resor,gillar,nnårig,tobak,glad,gärna
klass,svensken,mästare,svenske,klassen,vann,mästaren,lovande,viking,bäste,linnea,stil,gunnarsson,ryssen,brottning,antonsson,svedberg,tungvikt,anderberg,mattan
ligger,centrala,centrum,mikael,park,utanför,intill,central,nära,närheten,parken,lokal,centralt,egon,byggt,därifrån,placerad,folkets,persbrandt,tiotal
person,annan,personer,okänd,personen,ort,anonym,personerna,enskild,vederbörande,misstänker,närstående,gripen,flera,träffat,inblandad,persons,okände,okända,identisk
fem,fyra,sex,tre,tio,fern,nio,vardera,landin,landgren,sjättedelar,bengtolof,kvintetten,landins,landgrens,världsdelarna,sjättedels,östbom,fems,femdubbel
tid,lång,framöver,sikt,period,väntan,snabba,ork,fristående,smarta,förflutit,etablerad,kloka,jämför,läng,belöning,installationer,nöjd,svunnen,kompletta
klara,klart,besked,definitivt,klarar,redan,klaras,avvaktar,besvärligt,ännu,kyrkogata,beskeden,besvärliga,kärvt,entydigt,räcka,entydiga,gett,livhanken,biffen
ska,baker,josephine,förväntar,hanteras,skötas,gittan,bakers,bornebusch,fixas,policyn,knäckfrågan,josephines,frysas,utvärderas,vässas,milandes,skyndas,skafå,bornebuschs
bok,boken,författaren,roman,läsaren,skildring,skildrar,romanen,berättelsen,bokens,berättelse,skriven,författarinnan,skildringen,författarens,huvudpersonen,övers,skildras,kapitel,läsare
första,gången,nancy,gängen,martina,steget,harding,hundrade,rangens,huber,tonya,kerrigan,exemplaret,femtioelfte,tjing,nancys,vändan,fösta,martinas,milstolpen
ambassaden,ud,ambassadör,utrikesminister,utrikesdepartementet,ambassadören,diplomatiska,svenske,ministern,minister,diplomater,förbindelser,utrikesministern,förbindelserna,ambassad,diplomat,unden,diplomatisk,legationen,sändebud
lasse,gäng,gillar,grabbarna,kul,gänget,malin,holmqvist,grabbar,kompis,åberg,lite,grabben,grabb,förstås,buller,kompisarna,kompisen,fixa,grej
heller,däremot,varken,därför,annan,eftersom,ens,stället,avstår,tveksamt,nöjer,nämnvärt,övertygade,tveksam,olägenhet,utesluta,skillnad,ge,ätt,nämnt
känna,lära,lärt,lär,känner,lärde,trygghet,trygg,trygga,förstå,uppskatta,öva,människa,lust,läxa,tryggheten,nyttigt,knep,tryggare,utantill
nytt,nya,ny,gammalt,starta,pröva,lanserar,ersätter,fräscht,groll,ordspråk,blåsa,grepp,talesätt,koncept,påfund,dykt,oprövat,tillfört,lanseras
stå,står,klart,kvar,stått,kö,öppen,ensamt,still,pang,svars,låta,häl,pall,på_egna_ben,hack,klappat,öga_mot_öga,proportion,samklang
gratis,tryck,lyssna,svara,annons,annonser,dagar,annonsen,stina,samtalet,svar,ringa,ev,kostar,texten,hjälper,personligt,minut,annonserna,meddelande
andersson,uppsala,folke,björn,anderssons,benny,roy,enköping,sala,akademiska,harriet,abba,bibi,uppland,sven,kennet,thure,agnetha,uppsalas,wendt
andra,liksom,även,liknande,fir,makter,likaså,sär,skilt,densamma,vädrets,nådiga,munck,luntan,myra,hindrar,rosenschöld,införskaffat,likhet,föregångaren
framtida,planering,utformning,riktlinjer,målsättning,planeringen,förutsättningar,önskemål,förutsätter,praktiska,samordning,hänsyn,resurser,inriktning,målsättningen,anpassning,utformningen,långsiktiga,möjligheter,förutsättningarna
saken,klar,klart,ännu,sak,klarhet,definitivt,förrän,diskuterat,färdig,tydligen,göra,fall,jeanette,eventuellt,meningen,alltså,begära,bringa,aktuell
dagens,nyheter,nyheters,medarbetare,korrespondent,dn,utsände,eko,morgondagens,ros,privat,nyheterna,samtal,industri,utsända,tipsa,specielle,debattartikel,korrespondenten,medarbetaren
trots,väntat,resultatet,överraskning,oväntat,klart,besvikelse,förväntningar,besviken,hoppats,skuggan,total,förväntningarna,stor,micke,tydligen,oväntad,överraskad,oväntade,överraskade
gång,anne,satte,sätta,satts,upprepar,gilla,upprepa,upprepades,arbetets,franks,samtalets,annes,resans,varenda,rullat,suckarnas,annu,upprepats,vårkanten
bästa,tänkbara,allra,någonsin,sämsta,sättet,världens,möjliga,bäst,lundström,josefsson,särklass,beviset,näst,säkraste,överlägset,roligaste,presterat,världsklass,stunder
falun,stockholm,dalarna,taxi,borlänge,strand,mora,ludvika,norberg,avesta,nntal,rättvik,hedemora,orsa,fors,malung,utanför,falu,hofors,leksand
bil,bilen,köra,körde,kört,chauffören,kör,ratten,chaufför,bilens,föraren,baksätet,körkort,bilar,parkerad,garaget,färden,stulen,stannade,parkerade
våld,robert,hot,våldet,irland,nordirland,irländska,ira,utsatts,dublin,katolska,belfast,adams,hoten,protestantiska,hotet,hotat,republiken,william,wells
ställer,ställa,krav,ställt,förfogande,ställde,ställs,ställas,tveksam,ställts,trassel,skeptisk,frågande,spets,ultimatum,avvisande,utsikt,oförstående,förtret,dager
satt,inne,sitter,eric,bredvid,suttit,plötsligt,innerst,bänk,ute,nere,bänken,thorsten,tyst,tysta,vanan,instängd,inlåst,stund,någonstans
mars,april,februari,maj,januari,månad,slutet,mitten,febr,månads,månadsskiftet,inleds,nordh,fr_o_m,aprilskämt,februarimars,valborgsmässoafton,feb,daterad,två_dagar_senare
fick,gick,ville,behövde,tog,kom,gjorde,passade,bestämde,erbjöd,ställde,tyckte,ordnade,började,hjälpte,bytte,behövdes,skickade,skaffade,fungerade
nå,berg,nått,når,toppen,nådde,topp,absoluta,höga,högsta,ända,höjder,uppe,kulmen,gymnastik,botten,höjdpunkt,ling,nåddes,bergs
antalet,ökat,ökade,ökning,jämfört,minskat,ökningen,minskade,totala,kraftigt,halvåret,minskning,kvartalet,ökar,period,stigit,föregående,motsvarande,nedgång,sjunkit
enda,bara,sättet,gång,alfred,enklaste,kvarvarande,utvägen,vettiga,undantaget,säkraste,svep,rimliga,egentligen,trösten,slutat,utväg,kamel,annars,räddningen
björn,borg,set,tennis,davis,cup,båstad,schmidt,edberg,uffe,wimbledon,finalen,open,bergelin,davidson,wilander,lundqvist,dubbel,bollar,borgs
flesta,många,allra,mesta,mest,minst,ebba,nyaste,svåraste,helst,vanligaste,viktigast,svårast,finaste,rosendahl,loven,alira,nödvändigaste,stycken,heligaste
runt,omkring,dygnet,calle,rest,jorden,hörnet,reser,vandrar,snurrar,snurrade,snurra,vandra,vandrat,irrade,cirklar,irrar,planlöst,ströva,strövar
hästar,häst,hästen,solvalla,nordin,lopp,loppet,hästarna,sören,stall,start,rida,stallet,segrar,odds,banan,ryttare,jägersro,vann,tränare
james,mary,jane,douglas,amerikansk,hill,regi,steve,jim,gary,christopher,moore,william,rollerna,alan,bond,grant,thriller,susan,francis
new_york,new,times,chicago,kalifornien,los_angeles,florida,texas,san_francisco,yorks,boston,manhattan,miami,jersey,orleans,york,beach,virginia,philadelphia,city
gunnar,nilsson,torsten,lindberg,knut,torbjörn,nisse,gren,nilssons,palm,johnsson,wiklund,nordahl,pererik,kreuger,lindbergs,fritiof,biörck,bengtson,unger
gånger,flera,upprepade,tillfällen,otaliga,besökt,mötts,åtskilliga,otal,trefyra,tvåtre,upprepat,flerfaldiga,påstötningar,upprepa,upprepats,femsex,tillfallen,sexsju,hotats
helt,naturligt,enkelt,hållet,annorlunda,wallin,oväntat,ovetande,annan,delvis,sonika,naturlig,frankt,följdriktigt,oförstående,fräckt,olik,oförberedd,wallins,omotiverat
se,återstår,skottland,skotska,edinburgh,intressant,glasgow,skotsk,skottarna,skymt,loch,naste,nare,mmm,skotte,skottlands,skottar,goldman,aberdeen,vant
samman,ur,hänger,bryter,bröt,fram,brutit,håller,slås,samtidigt,lina,drabbade,drabbar,fristående,löst,binder,ringar,kopplas,medan,framför
fast,slår,håller,förstås,hålla,slå,grepp,envist,hållit,besluten,slagit,biter,fasta,rörlig,bita,låsa,binda,beslutna,låser,förankrad
genom,dels,sker,slutligen,antingen,sistnämnda,ock,huvudsakligen,tillkommit,förstnämnda,uppkommit,söm,åstadkommer,förbinda,fås,åstadkommes,försiggår,vidare,baserar,eliminerats
ur,exakt,funktion,sekund,fyller,black,datum,klocka,strandberg,precision,margaretha,klockor,stycke,automatiskt,exakta,tål,pålitliga,pålitlig,underverk,försett
plats,platser,placera,platsen,placeras,placerade,platserna,placering,bereda,lediga,trångt,jakobsson,sandra,placerats,beredas,givna,utrymmet,placeringen,flyttats,inta
redan,höst,börja,nästa,planerar,startar,hösten,färdigt,förbereder,klar,början,planera,förrän,meningen,förberedelserna,planeras,startas,ålderns,ryktas,nytt
skador,uppstod,storm,strömmen,kraftiga,orsakade,stormen,drabbades,reparera,ström,bröts,blåste,skadorna,blåsa,vållade,följd,orsaken,kraftig,blåst,gudrun
borås,cykel,jörgen,cyklar,varberg,cykeln,mil,etappen,söderlund,mc,cykla,mårtensson,etapp,cyklister,moped,lundh,hjälm,starten,hjul,cyklisterna
betala,kronor,betalar,betalt,betalas,betalat,avgifter,avgift,pengarna,betalade,skulder,pengar,carina,avgiften,betalning,summa,räkningen,kronofogden,kontant,summan
både,samtidigt,framförallt,trots,andra,höger_och_vänster,intensiv,övertygade,även,oerhört,holmquist,rymmer,engagerat,kropp_och_själ,boel,nyttig,ryms,samlad,kraftfull,starkt
bengt,gustafsson,hansson,claes,staffan,lindström,jönsson,göransson,wikström,gun,hallberg,westerberg,franzen,blomberg,jan_erik,ljunggren,norling,gustafson,ryden,gustafssons
namn,adress,skriv,skicka,aftonbladet,insändare,rätten,signaturen,glöm,signatur,redaktionen,förbehåller,kuvertet,ange,telefonnummer,adressen,insändaren,manus,adresser,sign
områden,område,vissa,främst,omfattande,viktiga,större,såväl,områdena,berör,utgör,särskilt,aktuella,känsliga,berörs,relativt,exempelvis,berörda,fältet,speciella
visste,kände,trodde,tänkte,tyckte,förstod,såg,svante,läste,insåg,kändes,hörde,talade,vågade,frågade,lät,graham,behövde,tvungen,verkade
london,england,engelska,engelsk,pund,brittiska,engelsmännen,englands,londons,engelskt,engelske,street,wales,brittisk,oxford,scotland,engelsman,engelsmän,yard,skottland
ap,uppgav,nyhetsbyrån,talesman,uppger,ttafp,rapporterar,rapporterade,ttreuter,meddelade,officiella,upi,källor,meddelar,thailand,onsdagen,enligt,afp,huvudstaden,uppgavs
fn,egypten,libanon,generalsekreterare,kongo,säkerhetsrådet,jordanien,hammarskjöld,resolution,kuwait,generalsekreteraren,trupper,fnsäkerhetsråd,resolutionen,new_york,mellersta_östern,syrien,generalförsamlingen,thant,fngeneralsekreterare
bolaget,aktier,bolag,bolagets,aktierna,utdelning,aktieägare,aktie,vd,styrelsen,aktieägarna,bolagsstämma,stämman,utdelningen,vinst,aktiebolag,börsen,bolagen,ab,styrelse
flickor,pojkar,flickorna,pojkarna,unga,kamrater,skolan,kamraterna,flicka,klassen,flickornas,skolbarn,jämnåriga,lärarinna,pojkarnas,lärarinnan,tonåren,gossar,söta,lektion
plan,planen,luften,flygplan,flög,flygande,typ,flyga,moberg,flygvapnet,flyg,flyger,typen,basen,höjd,flyget,landade,flygare,radar,flugit
utanför,delade,strax,innanför,meningar,samlats,medan,hundratals,sågs,samlades,inne,meningarna,krets,hundratal,nyfikna,flygblad,entren,ingången,möttes,grindarna
nnnn,ring,service,medarbetare,gärna,information,söker,välkommen,telefon,kontakta,yyyyn,senast,nnnnn,tel,nn_nnn,nnn_nn,upplysningar,dn_se,box,nnnnnn
fanns,visste,visade,gällde,handlade,trodde,stod,saknade,kom,behövde,saknades,kallades,bestod,använde,ville,berodde,fungerade,behövdes,betydde,påstod
låg,kom,gick,fanns,stod,nere,såg,höll,intill,hittade,bakom,lapp,trodde,upptäckte,tog,sov,framme,luckan,syntes,hängde
vita,röda,svarta,gula,flaggan,symbol,flagga,blå,flaggor,torget,vit,röd,fanor,tråden,kvarn,stång,blågula,symbolen,mattan,uniformer
plus,havet,ön,stilla,stranden,hav,medelhavet,sand,atlanten,sanden,öarna,minus,kust,kusten,stränder,öar,havets,ö,öns,västindien
behöver,behövs,räcker,behöva,hjälp,betyda,förstärkning,nödvändigtvis,förstärka,oroa,slipper,riskera,tveka,räcka,frukta,bekymra,behövas,komplettera,förstärkas,uppmuntran
såsom,blott,äro,skola,må,sålunda,dylika,nämnda,voro,jämte,följande,taga,eljest,ehuru,ock,emedan,finnes,dylikt,intet,därvid
huvudet,munnen,huvud,näsan,sticker,mun,sticka,öronen,joakim,skakade,skakar,ömsom,näsa,ögonen,fingrarna,pannan,huvuden,hakan,tungan,stack
dagar,semester,par,dagars,fjorton,semestern,veckor,veckors,ledigt,tillbringa,dagarna,ledig,ledighet,lediga,veckas,tillbringar,vistelse,semestrar,tillbringat,förlängd
fattiga,rika,afrika,länder,bistånd,afrikanska,kenya,nigeria,uländerna,biståndet,uganda,tanzania,fattigdom,fattigaste,afrikas,fattigdomen,länderna,nairobi,uländer,amin
tal,talade,höll,talet,anförande,hölls,yttrade,talare,nämnde,inledde,framhöll,skrift,erinrade,berörde,åhörare,betonade,talarstolen,talaren,uttryckte,hyllade
tagit,del,ta,avstånd,initiativet,ställning,fått,steget,tagits,vändning,ännu,gjort,betryggande,tillflykt,sikte,besittning,kommit,sökt,förklarar,lämnat
vänner,familj,vän,bekanta,nära,anhöriga,släktingar,släkt,vännerna,grannar,släkten,umgås,närmaste,kusin,släkting,vänskap,moster,kära,faster,arbetskamrater
viktigt,viktiga,viktig,viktigaste,oerhört,viktigare,engagemang,frågor,dialog,viktigast,engagera,engagerade,engagerar,engagemanget,betonar,strategiskt,vikten,betydelsefullt,uppmärksamma,fungera
fått,lov,erfara,bekräftelse,fatt,mottagande,tillåtelse,förfrågningar,utstå,bittert,upprättelse,förhinder,klagat,genomslag,fotfäste,skänks,besked,knäck,lida,bakfoten
visar,siffror,motsvarande,siffrorna,statistik,antalet,siffran,siffra,framgår,statistiken,anger,jämförelse,jämfört,preliminära,scb,räknat,statistiska,statistiska_centralbyrån,beräkningar,redovisas
ingenting,någonting,allting,alls,säga,vet,förstår,självmord,ens,absolut,egentligen,ångrar,hände,begriper,fullkomligt,begå,begick,alltsammans,förstått,låtsas
därmed,även,dock,samband,klart,sannolikt,samtidigt,definitivt,alltså,antas,däremot,sammanhängande,möjligheten,leder,inklusive,pågående,återstår,bäddat,slutgiltigt,kommande
söder,mil,norr,kilometer,öster,km,väster,längs,gränsen,söderut,sträcka,norrut,floden,västerut,nordväst,sträcker,sydväst,trakten,mälarstrand,kusten
r,p,c,nr,u,w,t,s,h,q,ä,e,rosenberg,svenne,hallgren,stars,nb,ethel,jersild,hep
även,enbart,givetvis,andra,görs,exempelvis,liknande,gäller,linde,sker,däremot,består,likaså,viveka,expr,därför,del,dessutom,anmäler,förse
makten,demokrati,demokratiska,demokratin,politiska,chile,makt,regimen,demokratisk,demokratiskt,regim,diktatur,demokratins,politisk,störta,förtryck,militären,diktatorn,styre,santiago
konst,konstnären,konstnärer,konstnär,verk,utställning,målningar,konsten,konstverk,tavlor,måleri,målare,tavlan,teckningar,porträtt,tavla,målade,måla,målning,konstnärerna
ryssland,ryska,moskva,sovjetiska,gorbatjov,ukraina,rysslands,rysk,estland,baltiska,michail,sovjetisk,putin,jeltsin,ryske,lettland,vladimir,litauen,estniska,baltikum
klädd,bar,vit,hatt,svart,grå,blå,kostym,byxor,skjorta,hatten,tröja,jeans,mörk,slips,iförd,röd,klädda,uniform,kavaj
annan,förklaring,orsaken,orsak,förklaringen,förklara,fått,velat,söka,bevis,förklaringar,orsakerna,tidigare,naturlig,teori,känt,förklaras,anledningen,finna,teorin
johan,pettersson,christer,jonas,henrik,bergström,magnusson,sjögren,mattias,björkman,adam,höglund,petersson,jakob,tobias,asplund,wahlström,joachim,abrahamsson,petterssons
lokaler,anbud,m_m,underhåll,lokalerna,fastigheten,uppförande,byggnad,ombyggnad,uppföra,samt,provisoriska,byggnader,kv,fastighet,skick,arbeten,reparationer,anslutning,anslag
känns,väldigt,skönt,kändes,linda,kul,otroligt,lite,fantastiskt,jobbigt,roligt,konstigt,kännas,tryggt,helene,fruktansvärt,tufft,jättebra,okej,obehagligt
barnen,barn,föräldrarna,barnens,dagis,familjer,mammor,pappor,förskolan,föräldrarnas,småbarn,förskola,hemmet,barnomsorgen,barns,mammorna,mödrar,förskollärare,barnomsorg,ungarna
engelska,språk,språket,främmande,tyska,franska,talar,lära,behärskar,kunskaper,svenskan,översättning,tolk,behärska,ord,texten,översätta,läsa,språkliga,engelsk
stora,delar,mängder,valda,vitala,dela,sönderfaller,enorma,ansenliga,klyva,kopiösa,bekymret,centralare,sönderföll,tillämpliga,klövs,rikliga,styckas,klyvas,kluvits
ansökan,sökande,senast,tjänsten,upplysningar,handlingar,önskar,lämnas,samt,åberopa,tel,tjänstgöring,lönegrad,tjänst,härmed,ställd,anställning,jämte,övriga,ledig
färger,bomull,plagg,tyg,klänning,ull,kjol,modeller,klänningar,marin,modell,klänningen,tyger,mönster,päls,kjolen,tyget,elegant,fickor,jacka
nödvändigt,ordningen,balans,åstadkomma,upprätthålla,ram,ramen,begränsa,möjligt,uppnå,nödvändiga,bevara,möjligheterna,nödvändig,återställa,balansen,rimlig,begränsas,begränsning,minimum
